aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
2,226,1408563083,9.631,-2472.406,5.090,24.994,194.158,3210,0.095,23.270,5.343,6.446,2.083,79.493,550.849,11926.832,-2.079
2,227,1408539253,11.980,-2595.201,5.081,24.956,219.006,3350,0.095,14.967,3.169,2.912,1.242,72.413,540.711,8364.071,-1.942
2,229,1408559883,9.629,2568.300,5.031,24.988,221.583,3350,0.095,27.867,5.261,6.848,3.678,72.959,766.463,14480.132,-2.082
2,230,1408533378,10.927,-2525.614,5.089,24.999,189.839,3280,0.095,14.068,3.139,4.107,1.929,74.268,447.463,7763.719,-2.243
2,233,1408568633,9.354,-2503.262,5.058,24.970,221.377,3250,0.095,29.012,5.760,7.544,3.327,79.710,920.186,14788.906,-1.604
2,234,1408523123,9.570,2448.581,5.047,24.922,188.656,3190,0.095,21.741,5.393,7.435,2.455,79.857,438.542,10897.326,-2.398
3,3,1408495678,11.685,-2206.210,5.125,24.942,221.263,2840,0.095,14.728,3.876,5.884,3.247,68.053,521.751,5759.973,-2.196
3,4,1408503603,11.729,-2128.103,5.055,24.998,187.809,2770,0.095,19.327,3.466,3.672,1.188,72.063,769.473,7786.558,-2.186
3,5,1408538693,12.214,2076.613,5.045,24.889,198.629,2710,0.095,13.337,3.095,3.045,1.703,79.163,1230.935,6317.519,-1.773
3,6,1408524993,9.959,2060.766,5.034,24.910,197.993,2690,0.095,31.604,4.540,5.828,1.747,78.780,1400.565,12916.101,-0.218
3,9,1408506750,11.367,-2196.279,5.112,24.938,207.335,2840,0.095,17.768,3.565,3.894,2.446,70.038,683.430,7244.298,-0.892
3,11,1408529843,10.825,2108.200,5.064,24.936,216.000,2750,0.095,33.323,4.824,9.916,4.633,77.275,1226.098,12896.608,-2.225
3,12,1408537938,11.965,-2213.253,5.039,24.962,213.190,2880,0.095,18.191,3.662,5.061,2.750,75.325,625.372,7308.602,-2.286
3,15,1408546503,12.045,1083.708,5.028,9.960,181.000,710,0.095,41.830,2.141,2.478,2.478,89.276,1603.809,3467.036,0.294
3,16,1408494538,11.853,2071.763,5.043,24.915,185.155,2700,0.095,17.473,3.146,4.232,2.023,79.378,947.408,7168.410,-2.431
3,17,1408516368,9.447,2104.534,5.054,24.910,219.000,2740,0.095,31.203,5.614,8.377,4.652,87.400,1215.821,12068.025,-1.023
3,19,1408519613,9.323,2135.731,5.029,24.870,229.871,2790,0.095,22.448,4.846,3.950,2.062,64.090,752.569,9473.336,0.988
3,20,1408534968,11.840,2134.795,5.048,24.865,189.620,2780,0.095,18.772,3.023,3.198,1.887,80.782,965.457,8305.459,-2.340
3,21,1408571193,9.517,-2080.658,5.072,20.378,245.919,2450,0.095,31.966,5.300,10.455,5.094,83.135,1172.637,12036.877,0.688
3,23,1408549578,11.963,2128.173,5.035,24.921,242.369,2780,0.095,9.599,1.998,1.600,1.111,81.985,548.659,5033.642,-1.384
3,24,1408529543,10.214,-1183.126,5.074,9.636,248.527,730,0.095,31.251,2.345,4.932,4.932,57.339,575.975,3097.451,-1.158
3,25,1408540621,11.917,-2381.176,5.101,24.972,234.413,3050,0.095,8.125,2.597,2.437,1.022,50.435,299.838,4705.760,-1.048
3,28,1408567373,9.512,2107.966,5.037,24.954,197.196,2750,0.095,36.529,5.266,5.815,2.381,93.436,1677.717,14180.224,0.313
3,29,1408549043,11.990,-2138.513,5.112,24.964,196.353,2770,0.095,19.423,2.732,2.487,1.118,88.609,1374.784,8853.614,-2.595
3,30,1408518058,9.595,-2192.858,5.086,24.996,191.470,2840,0.095,37.615,4.923,6.613,2.538,89.242,1688.453,16950.595,-0.716
3,31,1408571408,10.057,2070.827,5.045,24.870,210.937,2700,0.095,39.025,4.381,6.099,3.687,103.757,2327.013,16432.538,-0.226
3,32,1408560033,9.639,2138.906,5.042,24.859,225.486,2790,0.095,16.879,3.179,2.635,1.287,69.940,806.053,8180.381,-0.580
3,101,1408553109,10.843,1818.934,5.055,24.858,222.708,2370,0.095,7.803,2.900,2.993,1.600,55.469,185.486,2701.496,-0.615
3,102,1408558393,9.802,1843.213,5.073,24.943,242.612,2410,0.095,14.907,3.628,4.333,2.165,96.914,583.789,5851.789,-0.174
3,103,1408497978,11.592,-1778.816,5.106,24.996,184.000,2320,0.095,6.669,2.715,2.464,1.614,47.122,293.010,2452.646,-0.120
3,104,1408502653,11.506,-1794.161,5.122,24.972,205.103,2330,0.095,9.375,2.367,1.917,1.210,89.608,632.148,4016.421,-0.791
3,105,1408507122,10.910,-1828.394,5.078,24.953,227.063,2380,0.095,7.963,2.111,1.760,1.063,90.078,506.310,3993.777,-0.523
3,108,1408547218,12.074,1791.640,5.061,24.894,195.494,2340,0.095,7.635,3.186,2.907,1.809,45.860,295.273,2671.632,-0.888
3,109,1408526418,9.626,-1799.457,5.122,24.976,185.077,2340,0.095,14.527,4.275,8.650,4.743,55.334,341.989,5236.960,0.023
3,110,1408530590,10.402,-1816.264,5.120,24.937,203.513,2360,0.095,6.577,3.560,6.149,2.939,26.232,73.926,2133.952,0.007
3,111,1408535420,10.748,-1848.388,5.111,24.952,227.054,2390,0.095,6.994,2.476,2.112,1.370,79.051,359.953,3013.299,-0.410
3,114,1408494978,11.650,1822.982,5.057,24.858,218.753,2380,0.095,11.190,2.928,2.732,1.059,62.246,311.978,3532.666,-1.335
3,114,1408575778,10.685,1799.904,5.011,24.908,195.511,2360,0.095,11.737,3.902,6.174,4.236,49.173,284.303,3784.268,-0.499
3,115,1408500463,11.643,1846.111,5.064,24.891,241.099,2410,0.095,8.232,2.050,1.602,1.179,122.211,559.162,3488.488,-0.931
3,117,1408564948,9.292,-1829.050,5.155,24.918,229.468,2360,0.095,16.873,3.403,3.281,1.107,94.067,794.992,5867.293,1.228
3,118,1408569808,9.099,-1190.938,5.113,14.025,248.405,1100,0.095,10.050,3.494,3.498,2.666,67.241,259.990,1373.364,1.575
3,119,1408517338,9.379,1770.552,5.040,24.888,187.648,2320,0.095,6.033,5.596,8.873,5.654,16.854,44.310,1869.754,0.241
3,120,1408523683,9.827,1793.948,5.023,24.879,215.572,2350,0.095,7.102,4.358,6.186,1.947,29.555,76.489,2465.664,0.181
3,121,1408529348,10.650,1832.884,5.052,24.895,241.224,2400,0.095,12.576,2.455,2.883,1.147,113.549,772.319,5250.641,-0.583
3,202,1408507382,10.731,2586.144,5.034,24.939,241.080,3360,0.095,11.658,3.189,3.891,1.335,64.943,396.479,7320.431,-1.054
3,203,1408509778,10.839,-2588.364,5.101,24.950,215.528,3340,0.095,22.218,3.816,5.322,2.188,64.794,772.248,12732.916,-2.184
3,205,1408503888,11.445,-2518.552,5.020,24.940,186.626,3280,0.095,16.986,3.298,4.271,3.081,66.888,664.384,9067.896,-2.903
3,207,1408552763,10.875,2509.423,5.009,24.908,192.000,3270,0.095,18.372,3.605,4.836,2.277,70.897,852.877,10198.981,-2.277
3,208,1408515153,9.983,-2724.095,5.092,24.958,244.066,3490,0.095,14.280,4.164,7.296,4.426,65.408,366.848,8930.040,-1.540
3,212,1408575823,9.950,-1062.172,5.066,7.356,249.000,390,0.095,21.822,1.709,9.712,9.712,39.628,304.920,1090.044,-0.267
3,213,1408537118,12.078,2534.295,5.057,24.892,246.329,3300,0.095,9.009,2.358,2.285,1.074,59.929,309.379,5242.069,-1.942
