prn,elv,azi,gps_time,snr,ant
3.0,22.488521761765057,224.0,1408322308.0,40.0,0.0
3.0,22.41888479707599,224.0,1408322318.0,38.0,0.0
3.0,22.34922895522317,224.0,1408322328.0,38.0,0.0
3.0,22.27955445484527,224.0,1408322338.0,37.0,0.0
3.0,22.20986151458099,224.0,1408322348.0,36.0,0.0
3.0,22.14015035306899,224.0,1408322358.0,35.0,0.0
3.0,22.070421188947975,224.0,1408322368.0,36.0,0.0
3.0,22.000674240856625,224.0,1408322378.0,36.0,0.0
3.0,21.930909727433612,224.0,1408322388.0,36.0,0.0
3.0,21.861127867317627,224.0,1408322398.0,39.0,0.0
3.0,21.791328879147358,224.0,1408322408.0,41.0,0.0
3.0,21.721512981561485,224.0,1408322418.0,40.0,0.0
3.0,21.651680393198685,223.0,1408322428.0,40.0,0.0
3.0,21.58183133269765,223.0,1408322438.0,39.0,0.0
3.0,21.511966018697066,223.0,1408322448.0,40.0,0.0
3.0,21.442084669835605,223.0,1408322458.0,40.0,0.0
3.0,21.372187504751956,223.0,1408322468.0,38.0,0.0
3.0,21.30227474208481,223.0,1408322478.0,36.0,0.0
3.0,21.23234660047284,223.0,1408322488.0,36.0,0.0
3.0,21.162403298554736,223.0,1408322498.0,37.0,0.0
3.0,21.092445054969183,223.0,1408322508.0,38.0,0.0
3.0,21.022472088354856,223.0,1408322518.0,39.0,0.0
3.0,20.952484617350446,223.0,1408322528.0,40.0,0.0
3.0,20.88248286059464,223.0,1408322538.0,41.0,0.0
3.0,20.81246703672611,223.0,1408322548.0,41.0,0.0
3.0,20.742437364383548,223.0,1408322558.0,42.0,0.0
3.0,20.672394062205637,223.0,1408322568.0,42.0,0.0
3.0,20.602337348831053,223.0,1408322578.0,41.0,0.0
3.0,20.532267442898483,223.0,1408322588.0,37.0,0.0
3.0,20.46218456304662,223.0,1408322598.0,34.0,0.0
3.0,20.39208892791414,223.0,1408322608.0,32.0,0.0
3.0,20.321980756139734,223.0,1408322618.0,31.0,0.0
3.0,20.251860266362073,223.0,1408322628.0,33.0,0.0
3.0,20.181727677219843,223.0,1408322638.0,38.0,0.0
3.0,20.111583207351735,223.0,1408322648.0,40.0,0.0
3.0,20.04142707539643,223.0,1408322658.0,40.0,0.0
3.0,19.971259499992613,223.0,1408322668.0,42.0,0.0
3.0,19.901080699778962,223.0,1408322678.0,42.0,0.0
3.0,19.830890893394166,223.0,1408322688.0,43.0,0.0
3.0,19.760690299476902,223.0,1408322698.0,43.0,0.0
3.0,19.690479136665864,223.0,1408322708.0,42.0,0.0
3.0,19.620257623599723,223.0,1408322718.0,41.0,0.0
3.0,19.550025978917173,223.0,1408322728.0,41.0,0.0
3.0,19.47978442125689,222.0,1408322738.0,40.0,0.0
3.0,19.409533169257568,222.0,1408322748.0,36.0,0.0
3.0,19.339272441557885,222.0,1408322758.0,35.0,0.0
3.0,19.269002456796525,222.0,1408322768.0,36.0,0.0
3.0,19.198723433612162,222.0,1408322778.0,37.0,0.0
3.0,19.12843559064349,222.0,1408322788.0,37.0,0.0
3.0,19.05813914652919,222.0,1408322798.0,37.0,0.0
3.0,18.987834319907954,222.0,1408322808.0,37.0,0.0
3.0,18.917521329418452,222.0,1408322818.0,38.0,0.0
3.0,18.84720039369937,222.0,1408322828.0,39.0,0.0
3.0,18.776871731389402,222.0,1408322838.0,40.0,0.0
3.0,18.706535561127218,222.0,1408322848.0,41.0,0.0
3.0,18.636192101551515,222.0,1408322858.0,41.0,0.0
3.0,18.565841571300968,222.0,1408322868.0,41.0,0.0
3.0,18.495484189014256,222.0,1408322878.0,39.0,0.0
3.0,18.425120173330075,222.0,1408322888.0,39.0,0.0
3.0,18.354749742887105,222.0,1408322898.0,40.0,0.0
3.0,18.284373116324026,222.0,1408322908.0,40.0,0.0
3.0,18.213990512279523,222.0,1408322918.0,38.0,0.0
3.0,18.143602149392283,222.0,1408322928.0,36.0,0.0
3.0,18.073208246300975,222.0,1408322938.0,36.0,0.0
3.0,18.002809021644303,222.0,1408322948.0,36.0,0.0
3.0,17.932404694060942,222.0,1408322958.0,37.0,0.0
3.0,17.861995482189567,222.0,1408322968.0,38.0,0.0
3.0,17.791581604668878,222.0,1408322978.0,41.0,0.0
3.0,17.721163280137542,222.0,1408322988.0,41.0,0.0
3.0,17.65074072723426,222.0,1408322998.0,42.0,0.0
3.0,17.580314164597702,222.0,1408323008.0,42.0,0.0
3.0,17.509883810866555,222.0,1408323018.0,42.0,0.0
3.0,17.43944988467951,222.0,1408323028.0,38.0,0.0
3.0,17.369012604675238,222.0,1408323038.0,33.0,0.0
3.0,17.298572189492436,222.0,1408323048.0,29.0,0.0
3.0,17.22812885776978,222.0,1408323058.0,37.0,0.0
3.0,17.157682828145944,222.0,1408323068.0,41.0,0.0
3.0,17.08723431925963,222.0,1408323078.0,43.0,0.0
3.0,17.016783549749512,222.0,1408323088.0,43.0,0.0
3.0,16.946330738254275,222.0,1408323098.0,42.0,0.0
3.0,16.8758761034126,222.0,1408323108.0,42.0,0.0
3.0,16.805419863863182,222.0,1408323118.0,42.0,0.0
3.0,16.734962238244687,222.0,1408323128.0,39.0,0.0
3.0,16.66450344519581,221.0,1408323138.0,40.0,0.0
3.0,16.594043703355233,221.0,1408323148.0,38.0,0.0
3.0,16.523583231361634,221.0,1408323158.0,36.0,0.0
3.0,16.453122247853706,221.0,1408323168.0,37.0,0.0
3.0,16.38266097147013,221.0,1408323178.0,37.0,0.0
3.0,16.312199620849583,221.0,1408323188.0,37.0,0.0
3.0,16.241738414630756,221.0,1408323198.0,37.0,0.0
3.0,16.171277571452336,221.0,1408323208.0,37.0,0.0
3.0,16.10081730995299,221.0,1408323218.0,37.0,0.0
3.0,16.030357848771416,221.0,1408323228.0,37.0,0.0
3.0,15.959899406546297,221.0,1408323238.0,37.0,0.0
3.0,15.889442201916308,221.0,1408323248.0,36.0,0.0
3.0,15.81898645352014,221.0,1408323258.0,39.0,0.0
3.0,15.748532379996478,221.0,1408323268.0,40.0,0.0
3.0,15.678080199983999,221.0,1408323278.0,41.0,0.0
3.0,15.607630132121391,221.0,1408323288.0,43.0,0.0
3.0,15.537182395047335,221.0,1408323298.0,42.0,0.0
3.0,15.466737207400515,221.0,1408323308.0,43.0,0.0
3.0,15.396294787819613,221.0,1408323318.0,42.0,0.0
3.0,15.32585535494332,221.0,1408323328.0,39.0,0.0
3.0,15.255419127410317,221.0,1408323338.0,35.0,0.0
3.0,15.184986323859285,221.0,1408323348.0,34.0,0.0
3.0,15.114557162928905,221.0,1408323358.0,33.0,0.0
3.0,15.044131863257862,221.0,1408323368.0,37.0,0.0
3.0,14.973710643484848,221.0,1408323378.0,36.0,0.0
3.0,14.903293722248538,221.0,1408323388.0,37.0,0.0
3.0,14.832881318187614,221.0,1408323398.0,39.0,0.0
3.0,14.762473649940762,221.0,1408323408.0,41.0,0.0
3.0,14.692070936146669,221.0,1408323418.0,43.0,0.0
3.0,14.621673395444024,221.0,1408323428.0,44.0,0.0
