aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,15,1408389816,0.864,-2316.042,5.392,24.998,88.227,2820,0.185,1.671,4.989,3.964,1.528,6.847,10.850,1626.114,-0.075
0,16,1408322233,12.256,2074.635,5.028,24.946,185.173,2710,0.185,14.111,4.168,3.580,1.272,84.898,696.417,6206.808,-0.243
0,16,1408337301,2.113,-2185.328,5.116,24.949,92.187,2840,0.185,0.784,5.203,4.344,1.404,4.462,3.074,1188.832,0.043
0,16,1408370081,8.840,3192.537,6.556,24.788,352.565,3190,0.185,1.499,2.428,1.971,1.100,9.260,18.294,1592.614,-0.090
0,16,1408379456,6.654,-2845.597,5.051,24.981,289.619,3570,0.185,14.787,4.947,4.109,1.406,71.614,571.673,13779.268,-1.400
0,17,1408344053,9.174,2108.178,5.038,24.966,219.000,2750,0.185,37.595,9.218,8.049,2.495,103.923,1429.668,15037.538,1.467
0,17,1408360478,0.605,-2162.506,5.132,24.988,126.379,2800,0.185,7.108,7.461,6.557,1.829,15.019,78.626,7979.711,0.648
0,17,1408391495,0.594,3774.176,9.394,24.956,20.409,3140,0.185,0.818,2.204,1.624,1.052,7.124,6.661,568.611,-0.045
0,17,1408399990,1.977,-3479.213,5.396,24.989,325.766,3850,0.185,2.033,2.827,2.217,1.118,17.448,27.660,2854.682,-0.107
0,18,1408326940,18.282,1321.802,5.425,13.210,75.350,1260,0.185,0.907,2.166,1.684,1.080,4.506,2.005,59.744,0.037
0,18,1408329141,2.311,4091.168,15.131,24.911,66.333,1820,0.185,2.045,2.255,1.847,1.017,11.933,16.564,619.760,0.379
0,18,1408338096,0.505,-3044.152,7.816,24.939,5.722,3000,0.185,0.774,3.548,2.874,1.001,3.939,2.580,892.802,-0.058
0,18,1408370352,6.136,2171.278,5.056,24.892,267.574,2820,0.185,25.198,4.982,3.804,1.040,104.333,1680.744,19921.429,0.617
0,18,1408385793,9.607,-2080.596,5.063,24.928,175.018,2710,0.185,22.162,6.841,6.033,1.679,89.106,824.240,10079.329,-2.990
0,19,1408347308,9.362,2152.130,5.055,24.931,229.865,2800,0.185,26.189,6.182,5.280,1.729,103.706,1411.691,13817.551,-2.836
0,19,1408363228,1.104,-2067.817,5.054,24.952,135.000,2690,0.185,6.774,6.017,4.583,1.085,23.823,100.024,6425.750,-1.154
0,19,1408393996,5.572,3275.931,5.020,24.960,31.051,3870,0.185,1.167,2.897,2.305,1.067,7.670,7.792,1173.843,-0.157
0,19,1408402599,0.601,-3181.428,5.196,24.970,333.926,3770,0.185,3.185,4.974,4.008,2.173,12.414,25.794,4698.632,0.035
0,20,1408322599,7.168,1094.395,5.007,8.091,3.364,510,0.185,0.736,1.712,1.373,1.015,4.099,1.591,25.503,-0.040
